,year,name,artists,key
133214,1982,Life Is Real (Song For Lennon) - Remastered 2011,['Queen'],7
83423,1975,Blue Letter,['Fleetwood Mac'],9
85749,1987,Un Verano en NY,['El Gran Combo De Puerto Rico'],7
6074,1952,Bye Bye Blues,"['Les Paul', 'Mary Ford']",11
23787,1945,Chander Eto Bahar,['Sandhya Mukherjee'],7
162299,1978,I Can't Stop The Rain,['Peter Criss'],5
101663,1984,Crossfire,['Scorpions'],4
4770,1945,Baal Shem: Three Pictures of Chassidic Life: II. Nigun (Improvisation),"['Ernest Bloch', 'Yehudi Menuhin']",7
21166,1932,Las Margaritas - Remasterizado,['Ignacio Corsini'],3
75929,1930,Na Mouna Stin Arahova,"['Georgia Mittaki', 'Giorgos Nakos']",6
98139,1967,Sitting on Top of the World - Full Length Version,['Grateful Dead'],2
80931,1963,I'm Beginning To See The Light,"['Ella Fitzgerald', 'Count Basie']",7
125622,1942,"Die Entführung aus dem Serail, K. 384: Welcher Kummer - Ach ich liebte","['Wolfgang Amadeus Mozart', 'Margherita Perras', 'Wiener Philharmoniker', 'Karl Alwin']",3
140628,2019,Next to You,['John Vincent III'],7
141948,1949,"Sonata in D Major, Op. 8, No. 3: Largo espressivo","['Gaetano Pugnani', 'Isaac Stern']",2
84162,1979,Why Me,['Styx'],2
47353,1970,Brazil (Aka Aquarela do Brasil),['Antônio Carlos Jobim'],10
49684,1982,Can't Take My Eyes Off You - Original Extended Version,['Boys Town Gang'],10
137725,2004,Remorse Is for the Dead,['Lamb of God'],2
53381,2000,We Fall Down - Live,['Donnie McClurkin'],5
80598,1961,Tower Of Strength,['Gene McDaniels'],2
46588,1966,"My Foolish Heart - Live At Town Hall, New York City, 1966",['Bill Evans Trio'],6
37276,2013,One Day They'll Know (ODESZA Remix),['Pretty Lights'],11
32761,1991,The Show Must Go On,['Queen'],11
4771,1945,Blue Grass Stomp,['Bill Monroe & His Blue Grass Boys'],2
60277,1946,"Mazurka in C-Sharp Minor, Op. 30 No. 4","['Frédéric Chopin', 'Maryla Jonas']",1
126832,1950,"West Side Story - Original Broadway Cast: The Dance at the Gym (The Jets, The Sharks) - Excerpt","['Leonard Bernstein', 'Larry Kert', 'The Jets', 'The Sharks', 'Carol Lawrence', 'Max Goberman']",7
146715,1975,Crash on the Levee,['Bob Dylan'],5
168836,2011,Crank It Up (feat. Akon),"['David Guetta', 'Akon']",11
7795,1960,Another Saturday Night,['Sam Cooke'],9
85571,1986,Sunshine Lady,['Latimore'],0
29838,1976,"Baby, I'm For Real",['The Originals'],5
96062,1956,"Jumps, Giggles And Shouts",['Gene Vincent & His Blue Caps'],7
92861,1930,Alma Dormida,"['Margarita Cueto', 'Luis Àlvarez']",2
149812,1990,Fotzepolitic,['Cocteau Twins'],7
130745,1969,"Won't You Try / Saturday Afternoon - Live at The Woodstock Music & Art Fair, August 17, 1969",['Jefferson Airplane'],9
115410,1972,You Hit The Nail On The Head,['Funkadelic'],0
133310,1982,This One's for You,['Teddy Pendergrass'],2
143132,1955,He Arose,['The Fisk Jubilee Singers'],6
65376,1971,Sweedeedee,['Michael Hurley'],0
135026,1991,Grazin' In The Grass - Live,['Rebirth Brass Band'],10
127074,1951,Shin Tan Ga - Chok Byuk Poo,['Unspecified'],6
118892,1990,The Silverton,['C.W. McCall'],10
82752,1972,Time Was,['Wishbone Ash'],2
80870,1962,Courtin' in the Kitchen - Live,"['The Clancy Brothers', 'Tommy Makem']",4
51957,1993,Blossom,['Candlebox'],7
51100,1989,Cowboy Logic,['Michael Martin Murphey'],0
45144,1959,No Depression in Heaven,['The New Lost City Ramblers'],0
137668,2004,Welcome,['Slipknot'],6
13932,1991,I Can't Dance - 2007 Remaster,['Genesis'],3
70108,1995,Eres,['Grupo Bryndis'],11
63113,1960,My Friend Andamo,['Henry Mancini'],7
30844,1981,Sponji Reggae,['Black Uhuru'],7
43616,1952,Dark Eyes,['Oscar Peterson'],7
158197,1958,Day By Day,['Sarah Vaughan'],5
53710,2002,Lo noto - Versión CD,['Hombres G'],5
76977,1941,Kab Tak Bolo Chhipi Rahogi,"['Renuka Devi', 'Ashok Kumar']",2
78425,1950,Följ med mig på vägen genom liv,['Svend Asmussen'],2
139111,2011,The Westerner,['Falling In Reverse'],5
28601,1970,Rudolph The Red-Nosed Reindeer - Stereo LP Version,['The Temptations'],0
115396,1972,Black Satin,['Miles Davis'],9
168131,2008,Synthetic World,['Swamp Dogg'],10
168301,2009,You Should Be Dancing,['Bee Gees'],0
44570,1956,"Goldberg Variations, BWV 988: Variation 30 a 1 Clav. Quodlibet","['Johann Sebastian Bach', 'Glenn Gould']",7
114541,1968,Il mercenario (l'arena),['Ennio Morricone'],2
50516,1986,Es Tan Fácil Romper un Corazón,['Miguel Mateos - Zas'],9
12711,1985,Life in a Northern Town,['The Dream Academy'],4
114622,1968,"Bend Me, Shape Me",['American Breed'],2
226,1923,Need a Little Sugar in My Bowl,['Bessie Smith'],0
114531,1968,Just One Smile,"['Blood, Sweat & Tears']",4
65212,1970,Share Your Love with Me,['Aretha Franklin'],5
31149,1983,Deep Blue Day - Remastered 2005,['Brian Eno'],4
165297,1993,High-Wire Stunts,['John Williams'],7
14011,1992,Chattahoochee,['Alan Jackson'],0
60810,1948,Godhuli Gagane Meghe,['Supriti Ghosh'],9
150358,1993,Mexican Moon,['Concrete Blonde'],0
127578,1954,Poiché tu vuoi saper...,"['Giacomo Puccini', 'Ferderico Del Cupolo']",5
4856,1946,Moonshine Lullaby,"['Ethel Merman', 'Robert Middleton', 'Marty May', ""William O'Neal""]",8
8825,1966,I Got You (I Feel Good),['James Brown & The Famous Flames'],7
76723,1939,"Caprice No. 5, from Op. 1","['Niccolò Paganini', 'Michael Rabin']",9
126160,1946,"Divertimento from ""Baiser de la fée"": 1. Sinfonia","['Igor Stravinsky', ""L'Orchestre de la Suisse Romande"", 'Ernest Ansermet']",0
160560,1970,Into the Mystic - Take 10,['Van Morrison'],3
45432,1961,Marian Antiphons. Alma Redemptoris. Ave Regina Caelorum. Regina Caeli. Salve Regina,"['Gregorian Chant', 'The Choir of the Carmelite Priory London', 'John McCarthy']",7
170401,2019,Song to You,"['Curlybamm', 'Jayygoinup']",9
2534,1934,Mélodia de Arrabal,['Hugo Díaz'],0
115988,1975,Oakland Stroke,['Tower Of Power'],9
167600,2005,La Grange,['ZZ Top'],9
128551,1958,Jonah And The Whale,"['Louis Armstrong', 'Sy Oliver Choir', 'The Allstars']",10
43219,1950,Viras Dos Namorados,['PMW Studio Musicians'],10
87301,1995,"Steady as the Beating Drum (Reprise) - From ""Pocahontas""/Soundtrack Version",['Jim Cummings'],5
84360,1980,El Amor de Mi Vida,['Grupo Romance'],9
157068,1952,"Symphony No. 2 in D Major, Op. 73: III. Allegretto grazioso (Quasi andantino)","['Johannes Brahms', 'Arturo Toscanini']",0
91626,2017,Honey Pain,['Koe Wetzel'],7
45482,1961,"Carnival of the Animals, R. 125: Pianists","['Camille Saint-Saëns', 'Gaby Casadesus', 'Philippe Entremont', 'Yo-Yo Ma']",0
160161,1968,Village Green - 2018 Stereo Remaster,['The Kinks'],0
16707,2005,"Slow Down - 12"" Version",['Bobby V.'],11
144994,1966,Theme From A Summer Place,['James Last'],3
119195,1991,It Must Be Love,['Alan Jackson'],6
54086,2004,Us,['Regina Spektor'],1
112001,1955,"Good Morning, Heartache",['Carmen McRae'],0
152067,2002,"Ev'rybody Wants to Be a Cat - From ""The Aristocats""/Soundtrack Version","['Scatman Crothers', 'Phil Harris', 'Thurl Ravenscroft', 'Liz English']",0
53846,2003,Are You Happy Now?,['Michelle Branch'],8
122077,2006,Llora Alma Mía,['Yoskar Sarante'],11
25868,1956,"Concerto for Violin, Strings and Continuo in G Minor, RV 315 ""L'estate"": II. Adagio","['Antonio Vivaldi', 'Isaac Stern', 'Jerusalem Music Center Chamber Orchestra']",7
93892,1946,"Masques, L. 105","['Claude Debussy', 'Robert Casadesus']",1
50181,1984,I Scare Myself,['Thomas Dolby'],1
36794,2011,All The Girls Wanna Ride,['Jawga Boyz'],9
51763,1992,Alone Together - Rudy Van Gelder Remaster,['Kenny Dorham'],5
112922,1960,Hawaiiannette (Hawaiian Love Talk),['Annette Funicello'],5
87693,1997,"They Live in You - From ""The Lion King""/Original Broadway Cast Recording","['Samuel E. Wright', 'Ensemble - The Lion King']",6
131791,1975,Through the Mountains May Fall,['St. Louis Jesuits'],10
94604,1949,Nishana Bane Dil Humare Tumhare,"['Pramodini', 'Balbir']",1
133242,1982,"Nocturne No.5 In F Sharp, Op.15 No.2","['Frédéric Chopin', 'Daniel Barenboim']",6
166507,2000,You Deserve the Glory,['David Bauer'],0
82637,1971,Some People Never Know - Remastered 2018,['Wings'],9
133187,1982,State Violence/State Control,['Discharge'],11
170203,2018,in your arms,['Saib'],0
100390,1978,Runnin' with the Devil - 45 Version,['Van Halen'],8
167922,2007,Far Behind,['Eddie Vedder'],4
89896,2008,Hey Ya - solo version,['Obadiah Parker'],1
8349,1963,I Wanna Be Your Man - Remastered 2009,['The Beatles'],9
42385,1945,Ae Bade Saba Kuchh Tune Suna,['Zeenat Begum'],7
63644,1963,Bon anniversaire,['Charles Aznavour'],4
52789,1997,A grand love theme,['Kid Loco'],9
121925,2005,Phantom 309,['Red Sovine'],5
144125,1961,Pachanga Caridad,['La Playa Sextet'],0
147641,1980,I Don't Believe In Miracles,['America'],2
149052,1987,Summer Wages,['Ian Tyson'],11
74387,2016,I Won't Give In,['Asking Alexandria'],2
1585,1929,Mientras Llora el Tango - Remasterizado,"['Francisco Canaro', 'Charlo']",8
100545,1979,You're so Good to Me,['Curtis Mayfield'],0
60973,1949,Girl Crazy: The Lonesome Cowboy,"['George Gershwin', 'Girl Crazy Ensemble (1952)', 'Lehman Engel']",10
67830,1983,No Control,['Eddie Money'],11
111784,1954,"24 Preludes, Op. 28: Prelude No. 3 in G","['Frédéric Chopin', 'Arthur Rubinstein']",7
72662,2008,Star Witness,['Neko Case'],2
139493,2013,Circus for a Psycho,['Skillet'],7
148577,1984,I Should Have Watched That First Step,['George Strait'],9
44071,1954,I Never Had A Chance,['Dean Martin'],0
119723,1994,Lori Meyers,['NOFX'],7
11848,1981,Just Can't Get Enough - 2006 Remaster,['Depeche Mode'],0
107879,2016,Calling All My Lovelies,['Bruno Mars'],1
122497,2008,Faxing Berlin,['deadmau5'],2
8776,1965,You Like Me Too Much - Remastered 2009,['The Beatles'],7
89939,2008,From Heads Unworthy,['Rise Against'],6
156550,1949,Girl Crazy: The Lonesome Cowboy,"['George Gershwin', 'Girl Crazy Ensemble (1952)', 'Lehman Engel']",10
54899,2008,Sleep Through The Static,['Jack Johnson'],0
168317,2009,This Empty Northern Hemisphere,['Gregory Alan Isakov'],5
130813,1970,Hooked On Love - Remastered,['Grand Funk Railroad'],9
35076,2002,Será porque te amo,['Los Tigrillos'],2
425,1924,I'm Proud of a Baby Like You,"['Bix Beiderbecke', 'Jean Goldkette and his Orchestra']",7
76241,1935,"Haydn: String Quartet No. 52 in E-Flat Major, Op. 64 No. 6, Hob. III, 64: I. Allegretto","['Franz Joseph Haydn', 'Pro Arte Quartet']",3
112750,1959,Walkin' Bass,['Henry Mancini'],10
68530,1987,Red And Black,['Michael Maguire'],11
20466,1928,Manon Lescaut: Donna non vidi mai,"['Giacomo Puccini', 'Koloman von Pataky', 'Unknown Orchestra']",3
44949,1958,The Ways of a Woman in Love,['Johnny Cash'],10
156084,1945,Chara Charam,['M. S. Subbulakshmi'],7
38891,1927,Fidgety Feet,"['Bix Beiderbecke', 'The Wolverines']",3
117685,1984,Your Husband Is Cheatin' On Us,['Denise LaSalle'],6
85720,1987,Let's Fall In Love,['Nat King Cole'],8
119553,1993,Chase Me,['Con Funk Shun'],9
98889,1971,Com Mais De 30,['Claudia'],0
43849,1953,"Long Ago (And Far Away) - 10"" LP Take","['Chet Baker Quartet', 'Russ Freeman']",9
25631,1955,Folsom Prison Blues,['Johnny Cash'],5
116843,1980,"Lady, Sweet Lady",['Barry White'],1
129234,1962,Swing Little Glow Worm,['Ray Conniff'],8
18946,2016,Love Myself,['Hailee Steinfeld'],0
163228,1983,Sailin' On,['Bad Brains'],1
150017,1991,Bella Donna,['The Legendary Pink Dots'],4
31363,1984,To Each His Own,['Patrice Rushen'],5
31573,1985,Octopus (Slippery Fish),['Charlotte Diamond'],11
52210,1995,Tell Me I Was Dreaming,['Travis Tritt'],5
127874,1955,Luther's Cradle Hymn,['Fred Waring & The Pennsylvanians'],5
142202,1950,The Kentucky Waltz,"['Johnny Cooper', 'The Range Riders']",0
120168,1996,If U Can't Dance,['Spice Girls'],11
22005,1936,Way Back Blues,['Count Basie & His All American Rhythm Section'],5
29898,1976,Astral Plane,['The Modern Lovers'],9
90193,2010,Overcome,['Jeremy Camp'],9
25839,1956,The Angel Of Death - Undubbed Version,['Hank Williams'],0
123722,2014,MASAYUME CHASING,['BoA'],7
157600,1955,El Recuerdo de los Tangos,"['Raul Garces', 'Los Caballeros Del Tango']",2
47376,1970,Climb Up On My Music,['Rodríguez'],2
10984,1976,Happy Days (Theme from ''Happy Days''),['Pratt & McClain'],5
141159,1940,Theonitsa,['Giorgos Papadiseris'],9
33803,1996,When You Love a Woman,['Journey'],1
65464,1972,For the Roses,['Joni Mitchell'],3
27880,1966,"Baby, Let Me Follow You Down - Live at Royal Albert Hall, London, UK - May 26, 1966",['Bob Dylan'],2
97212,1962,Crazy Rhythm - Instrumental,"['Red Garland Quintet', 'John Coltrane']",3
169733,2016,What We Live For,['American Authors'],0
160583,1970,MOTHER GREASE THE CAT,['Ancient Grease'],7
1683,1930,"No. 4, Au bord d'une source","['Franz Liszt', 'Vladimir Horowitz']",8
128060,1956,Oscalypso,['Art Blakey Percussion Ensemble'],8
120807,1999,Un Muchacho Pobre,['Banda Cuisillos'],10
170325,2019,Not Ok,"['Kygo', 'Chelsea Cutler']",11
146313,1973,Kiss the Children - Remastered Version,['Gram Parsons'],2
166664,2001,north dakota,['Chris Knight'],5
53730,2002,Early Sunsets Over Monroeville,['My Chemical Romance'],2
161223,1973,Heather,['Carpenters'],4
9347,1968,Honey Pie - Remastered 2009,['The Beatles'],7
134059,1986,Intimate Strangers,"['The Rippingtons', 'Russ Freeman', 'David Koz', 'David Benoit', 'Gregg Karukas', 'Jimmy Johnson', 'Tony Morales', 'Steve Reid']",3
51912,1993,"El Perro, el Gato y Yo",['Guardianes Del Amor'],5
81578,1966,Let Me In,['Jefferson Airplane'],7
89592,2007,Zungguzungguguzungguzeng,['Yellowman'],6
104944,2001,Life In a Glasshouse,['Radiohead'],7
78154,1949,Prelude V,"['Francisco Tárrega', 'Andrés Segovia']",4
869,1926,The Sheik of Araby,"['Fats Waller, His Rhythm and Orchestra']",7
130129,1966,Hey There Lonely Boy,['Ruby And The Romantics'],2
53925,2003,She Lives in My Lap (feat. Rosario Dawson),"['OutKast', 'Rosario Dawson']",11
78813,1952,Mujhpe Bhi Rahm Mere Mehrban Kijiye,['Ranganath Jadav'],5
37008,2012,El Sol No Regresa,['La Quinta Estacion'],3
53644,2002,My Paper Heart,['The All-American Rejects'],0
9127,1967,Change Partners,"['Antônio Carlos Jobim', 'Frank Sinatra']",7
28434,1969,We Used to Know - 2001 Remaster,['Jethro Tull'],4
121193,2001,Reminded,['Drowning Pool'],8
58594,1935,Dă-mi iarăși gura ta!,['Gion'],9
54257,2005,My Heart,['Paramore'],4
36269,2008,In the Ayer (feat. will.I.am),"['Flo Rida', 'will.i.am']",5
45870,1963,You Can't Sit Down,['The Dovells'],5
153536,2010,Little Miss,['Sugarland'],11
1789,1930,La Viajera Perdida - Remasterizado,['Ignacio Corsini'],9
18437,2014,Say Something,"['A Great Big World', 'Christina Aguilera']",2
102333,1988,I'll Be Good To You,['Bobby Brown'],2
33856,1996,Fueron Tus Palabras,['Los Temerarios'],2
2469,1934,Old Fashioned Sweethearts,['Jack Jackson & His Orchestra'],10
112184,1956,With Prestige,['Art Farmer'],10
14296,1993,Strong Enough,['Sheryl Crow'],2
45900,1963,Surfin' U.S.A. (Stereo),['The Beach Boys'],8
39402,1930,El Fuegazo de Tus Ojos - Remasterizado,"['Francisco Canaro', 'Charlo']",4
1167,1927,Culpable - Remasterizado,"['Francisco Canaro', 'Agustín Irusta']",11
23756,1945,Fan It,"['Woody Herman And His Woodchoppers', 'Red Norvo']",10
170482,2020,la luz(Fín),"['Kali Uchis', 'Jhay Cortez']",11
8926,1966,The Dangling Conversation,['Simon & Garfunkel'],10
145950,1971,Dead Flowers - 2009 Mix,['The Rolling Stones'],2
69631,1992,We'll Let You Know - 2014 Remaster,['Morrissey'],2
51084,1989,Siempre Te Amaré,"[""Los Yonic's""]",5
150444,1994,You Never Can Tell,['Chuck Berry'],7
57304,2020,Déjala Caer,['Daddy Yankee'],11
6624,1955,Cherokee,"['Clifford Brown', 'Max Roach Quintet']",3
161550,1974,What About Livingstone,['ABBA'],5
163290,1983,18 Miles To Memphis,['Stray Cats'],9
27784,1966,Hangover Heart,['Hank Thompson'],9
142070,1949,"Amor, Amor, Amor",['Suemy'],7
22602,1939,"Caprice No. 11, from Op. 1","['Niccolò Paganini', 'Michael Rabin']",0
25491,1954,What Is There To Say?,"['Ella Fitzgerald', 'Ellis Larkins']",7
114613,1968,None Of Your Doing,['Steppenwolf'],7
30215,1978,Bluer Than Blue,['Michael Johnson'],8
66141,1975,Sky Saw - 2004 Digital Remaster,['Brian Eno'],2
63199,1960,Blue Satin,['Henry Mancini'],5
53341,2000,Flow,['Sade'],7
168773,2011,Alive,['Adelitas Way'],1
20181,1927,Caricias De Mujer - Instrumental (Remasterizado),['Francisco Canaro'],7
165968,1997,"Bedtime - From ""The Little Mermaid""/Score",['Alan Menken'],7
104533,1999,Romántico incurable,['Banda Pequeños Musical'],2
106636,2009,An Evening Walk,['Bernward Koch'],0
161561,1975,It's a Mystery,['Average White Band'],0
112923,1960,It Never Entered My Mind,['Stan Getz'],1
98471,1969,Tico Tico,"['Paco de Lucía', 'Ramón Algeciras']",5
84231,1979,Get Over You,['The Undertones'],1
48096,1974,Need Some Love,['Rush'],9
151620,2000,Song 2,['Blur'],8
146638,1975,Land: Horses / Land of a Thousand Dances / La Mer(de),['Patti Smith'],9
3475,1939,If I Only Had A Brain - Extended Version,"['Ray Bolger', 'Judy Garland']",7
151765,2000,Ronda De Los Conejos,['Adriana Szuster'],0
107518,2014,Passing Out Pieces,['Mac DeMarco'],5
156682,1950,Treis stratigoi,['Alekos Dimou'],0
62655,1958,Oh Baby Doll,['Chuck Berry'],8
36654,2010,Better Than Revenge,['Taylor Swift'],11
6761,1955,You'd Be So Nice To Come Home To,['Cannonball Adderley'],9
77216,1942,Silenzio cantatore - Musical base Version,['Orchestra Studio 7'],4
112648,1959,Someone,['Johnny Mathis'],9
112977,1960,"Porgy - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",['Nina Simone'],6
114086,1966,(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],9
168963,2012,Jingle Bells,['Beegie Adair'],5
126013,1946,"Violin Concerto No. 2 in G Minor, Op. 63: III. Allegro ben marcato","['Sergei Prokofiev', 'Jascha Heifetz', 'Charles Münch', 'Boston Symphony Orchestra']",2
144200,1961,Granada,['Ben E. King'],0
156714,1950,Αλεξανδριανή φελλάχα,['Roza Eskenazi'],3
66146,1975,Westbound Train,['Dennis Brown'],6
14954,1996,Where It's At,['Beck'],2
70856,1999,Into The Void,['Nine Inch Nails'],8
59057,1939,On the Outside Looking In,['Lew Stone'],0
88406,2001,Everywhere,['Yellowcard'],9
113384,1962,I've Loved You Forever It Seems,['Webb Pierce'],7
25369,1953,Twelfth Street Rag,['Ken Griffin'],0
124168,2017,Noche de Desmadre,['Esteban Gabriel'],6
13177,1987,Need a Little Time off for Bad Behavior,['David Allan Coe'],10
138443,2008,This I Love,"[""Guns N' Roses""]",8
83526,1976,Ligia (feat. João Gilberto),"['Stan Getz', 'João Gilberto']",6
121689,2004,Analog,['Strung Out'],1
58151,1930,Three Little Words,['Claude Hopkins'],4
105664,2004,Bienvenido Al Amor,['Duelo'],9
103459,1993,Jimmi Diggin' Cats,['Digable Planets'],1
60131,1945,"Concerto No. 3 in C, Op.26: Andante; Allegro","['Sergei Prokofiev', 'William Kapell', 'Antal Doráti']",0
63974,1964,Here's That Rainy Day - Live At Carnegie Hall/1964,"['Stan Getz', 'João Gilberto']",5
58777,1936,Khizan Ne Aake Chaman Ko,"['Surendra', 'Miss Bibbo']",2
62203,1955,When I Fall In Love,['Helen Merrill'],10
47856,1973,Dean,['Terry Reid'],4
144564,1964,Invisible Tears,['Ray Conniff'],4
17704,2010,Rhythm Of Love,"[""Plain White T's""]",8
6154,1952,If I Were a Carpenter (Live in Denmark),"['Johnny Cash', 'June Carter Cash']",7
122818,2010,HIGHSCHOOL OF THE DEAD,['KISIDA KYODAN & THE AKEBOSI ROCKETS'],7
135158,1991,I Believe,['Diamond Rio'],10
68189,1985,Grand Designs,['Rush'],2
142968,1954,Un ballo in maschera: Zitti! L'incanto non dèssi turbare,"['Giuseppe Verdi', 'Arturo Toscanini', 'NBC Symphony Orchestra']",7
56185,2014,If I Lose Myself,['OneRepublic'],2
55722,2012,Never Stop (Wedding Version),['SafetySuit'],0
59128,1939,La polca del casamiento - Instrumental (Remasterizado),['Francisco Canaro'],8
15406,1999,No Scrubs,['TLC'],8
49821,1983,Legs,['ZZ Top'],4
102047,1986,Starpower,['Sonic Youth'],11
84980,1983,The Sign Of Fire,['The Fixx'],7
52301,1995,Dónde Estarás,['Mi Banda El Mexicano'],11
68131,1985,Think About Love,['Dolly Parton'],2
66406,1976,You Could've Been a Lady,['Hot Chocolate'],7
13877,1991,Gypsy Woman (She's Homeless) - Basement Boy Strip To The Bone Mix,['Crystal Waters'],5
89040,2004,The Woman with You,['Kenny Chesney'],7
59990,1944,Milke Bichhad Gai Ankhiyan,['Amirbai Karnataki'],0
110515,1948,Mere Ansuon Meri Hasrato,"['Suraiya', 'G. M. Durrani']",5
111104,1951,Tutto ho offerto alla Vergine,"['Giacomo Puccini', 'Fernando Previtali', 'Orchestra Lirica e Coro di Milano della RAI']",5
